newsSource|publishDate|headlineText
The Daily Mail|2012 06 15|Cabin boy who became first Briton to have a sex change operation is awarded an MBE for services to transgender equality
The Daily Mail|2012 06 18|Infant school praised by Ofsted 'for allowing its transgender pupils to express themselves'
The Daily Mail|2012 07 03|Mistress claims 'my lover made me orchestrate his wife’s killing with web of transsexual prostitutes, money and deviant sex'
The Daily Mail|2012 07 11|Chloe Sevigny on her concerns at playing transsexual role in Hit & Miss as she poses in androgynous photoshoot
The Daily Mail|2012 07 20|Big Brother 2012: Lauren Carre evicted from the house after losing out in the public vote to transsexual Luke Anderson
The Daily Mail|2012 09 14|Transgender woman, who claims pills for male hair-loss sparked gender change, opens up about 'life and death struggle'
The Daily Mail|2012 10 02|'He tried to cut off his penis with craft scissors': The transgender nine-year-old who lived in turmoil before finding peace as a little girl
The Daily Mail|2012 10 03|Mormon-raised transgender wins battle with insurance company to have her sex-change operation paid for
The Daily Mail|2012 10 24|'I did write a suicide note addressed to my parents...it was just that I didn’t belong': Transgender Matrix director Lana Wachowski on her childhood torment
The Daily Mail|2012 10 25|Transsexual wife killer who was granted tax-payer funded sex change should be allowed expert opinion on electrolysis hair removal, judge rules
The Daily Mail|2012 11 04|Parents' outrage as transgendered woman is permitted to use the women's locker room 'exposing himself to little girls'
The Daily Mail|2012 11 04|Parents' outrage as transgendered woman is permitted to use the women's locker room 'exposing himself to little girls'
The Daily Mail|2012 11 19|I'm having a sex change to look like Harry Styles: Transgender girl models new image on One Direction star
The Daily Mail|2012 11 20|Pausing puberty aged 12 saved my life: Transgender beauty queen praises her amazing family ahead of BBC documentary on her mission to become Miss England
The Daily Mail|2012 11 29|First transgender politician called to resign as criminal past revealed days after election
The Daily Mail|2012 12 06|Firefighter 'attacked pre-op transsexual model girlfriend by slamming her into phone booth and dragging her along by her hair'
The Daily Mail|2012 12 06|She's their stand-out player! Transsexual woman (aged FIFTY and 6ft 8ins tall) makes her debut on junior college basketball team
The Daily Mail|2012 12 06|'The bikinis are so tiny, the idea of wearing one in a show... it's super scary': Brazil's transgender models on hitting the catwalk - and rivaling the world's hottest women
The Daily Mail|2012 12 08|Transgender model forced to recall X-rated past an escort as she takes stand over claims firefighter boyfriend' attacked her
The Daily Mail|2012 12 12|New York firefighter's NEW transsexual girlfriend in court as jury deliberations begin for assault trial
The Daily Mail|2012 12 12|University of Iowa to offer transgender as an option on admissions applications
The Daily Mail|2012 12 18|Michelle Obama played by TRANSGENDER model: US magazine appoints alternative ‘first lady’ and asks when black transsexual will be in White House
The Daily Mail|2012 12 18|Michelle Obama played by TRANSGENDER model: US magazine appoints alternative ‘first lady’ and asks when black transsexual will be in White House
The Daily Mail|2012 12 18|FDNY calendar model acquitted of choking transsexual model girlfriend now has NEW transgender beau who was cleared of a 2004 strangulation murder
The Daily Mail|2012 12 18|FDNY calendar model acquitted of choking transsexual model girlfriend now has NEW transgender beau who was cleared of a 2004 strangulation murder
The Daily Mail|2012 12 20|Nowhere to go but up! Transsexual woman (age 50 and 6ft 8ins tall) scores a modest two points with two rebounds in community college game debut
The Daily Mail|2012 12 26|'Are you transsexual?' What residents were asked using taxpayers' money by council bosses planning to build a ROAD
The Daily Mail|2013 01 13|Columnists Suzanne Moore and Julie Burchill in Twitter storm after politically incorrect articles attacking transsexuals
The Daily Mail|2013 01 13|Transsexual tries to pay parking fine... but is told council can't accept money because she's a man and the driver was a woman
The Daily Mail|2013 01 14|Observer removes controversial Julie Burchill article on transsexuals from website and issues apology after Twitter storm
The Daily Mail|2013 01 14|The only transsexual club in the village: The Scottish Inn that's become a haven for men that used to be women
The Daily Mail|2013 01 18|'He's asking what parts of a boy I have': Transgender teenage girl, 12, faces new problems as she starts dating
The Daily Mail|2013 02 04|Transgender woman launches lingerie line for others who have made male-to-female transition after fruitless hunt for the perfect underwear
The Daily Mail|2013 03 13|He was born a girl and she used to be his babysitter: So why IS transgender boy Bobby, 19, marrying 31-year-old Donna?
The Daily Mail|2013 03 25|Oregon high school creates unisex bathrooms for its ten transgender students
The Daily Mail|2013 04 07|Judge orders mental evaluation for transgender model suing Khloe Kardashian over alleged assault
The Daily Mail|2013 04 10|Jenna Jameson 'used brass knuckle iPhone case to beat up her transgender assistant in salon'
The Daily Mail|2013 04 16|Transgender woman banned from Idaho grocery store after complaints she used women's bathroom
The Daily Mail|2013 05 03|Brighton Council adopts new 'MX' title for its transgender population
The Daily Mail|2013 05 08|'Love will prevail:' Transgender author who became a woman more than a decade ago describes how she and her wife are happier than ever after 25 years of marriage
The Daily Mail|2013 05 10|Transsexual actress who appeared in Sacha Baron Cohen's The Dictator questioned for 'making death threats to husband's mistress'
The Daily Mail|2013 05 13|Transgender woman wins right to marry her boyfriend in landmark ruling by Hong Kong's top court
The Daily Mail|2013 06 05|Real Housewives star Kyle Richards hit by claims her husband cheated with a female prostitute and transsexual escort
