newsSource|publishDate|headlineText
Buzzfeed|2015 03 31|These Trans People Are Taking Selfies To Celebrate Transgender Day Of Visibility
Buzzfeed|2015 04 2|Transgender Immigration Cases Could Affect Future Asylum Seekers
Buzzfeed|2015 04 2|Australian Transgender People At Higher Risk Of Poor Mental Health
Buzzfeed|2015 04 7|Meet Rye Silverman, ModCloth's First Transgender Model
Buzzfeed|2015 04 8|This Speech From The World's Most Senior Transgender Military Officer Will Make You Feel Things
Buzzfeed|2015 04 13|"Trans Man Sues Employer After Being Told His Gender Identity Isn't ""In Compliance"""
Buzzfeed|2015 04 20|Transgender People In California Could Pay A $4,000 Penalty For Using Certain Restrooms
Buzzfeed|2015 04 21|"Meet The First Transgender Model To Be Featured In ""Vogue"""
Buzzfeed|2015 04 22|This Story Of A 5-Year-Old Transgender Boy Will Give You All Sorts Of Feels
Buzzfeed|2015 04 22|Michigan Music Festival That Excluded Transgender People To Shut Down
Buzzfeed|2015 04 23|Conoce a la primera modelo transexual en aparecer en Vogue
Buzzfeed|2015 05 1|Este podría ser el primer hombre transexual en la portada de la revista Men's Health
Buzzfeed|2015 05 1|24 Heartbreaking Struggles From The Transgender Community
Buzzfeed|2015 05 4|The New York Times Launched A Series Of Editorials On Transgender Rights
Buzzfeed|2015 05 4|Smith College Announces New Admission Policy To Allow Transgender Women
Buzzfeed|2015 05 4|This Beautiful Image Of A Transgender Woman Shows Strength And Resilience
Buzzfeed|2015 05 7|U.S. Has No Process For Accepting Transgender Passports, State Department Confirms
Buzzfeed|2015 05 7|Coming Out To My Exes As A Gay Trans Man
Buzzfeed|2015 05 8|Virginia School District Bans Discrimination Against Transgender Students
Buzzfeed|2015 05 19|Suspect In Fatal Stabbing Of Philadelphia Transgender Woman Is Identified
Buzzfeed|2015 05 23|This Newspaper Used A Very Insensitive Headline About A Trans Woman
Buzzfeed|2015 05 26|Transgender Indigenous Australians Are In Desperate Need Of Help
Buzzfeed|2015 05 27|Transgender People Talk About Bruce Jenner
