Breitbart|19 Feb 2020, 7:22 AM PDT|Rapper Boosie BadAzz to Dwyane Wade After Transgender Child Comes Out at 12: ‘Don’t Cut His F**King D**k Off’19 Feb 2020, 7:08 AM PDT
Breitbart|19 Feb 2020, 10:21 AM PDT|Court Upholds School District’s Transgender Bathroom Plan, Rejects Privacy Concerns19 Feb 2020, 9:42 AM PDT
Breitbart|19 Feb 2020, 6:07 PM PDT|Dwyane Wade Claims His Transgender Child Knew Gender Identity at Age 319 Feb 2020, 5:22 PM PDT
Breitbart|19 Feb 2020, 4:13 PM PDT|Michael Bloomberg: Transgender Advocacy Hurts Democrat Politicians19 Feb 2020, 3:22 PM PDT
Breitbart|21 Feb 2020, 9:14 AM PDT|Elizabeth Warren Claims Transgender Athletes ‘Not a Threat’21 Feb 2020, 8:29 AM PDT
Breitbart|24 Feb 2020, 11:18 AM PDT|UK to Scrap Transgender Proposal Out of Fear of Harming Children Who Lack ‘Decision-Making Capabilities’24 Feb 2020, 10:44 AM PDT
Breitbart|24 Feb 2020, 4:23 PM PDT|Female Inmate Claims She Was Raped by Transgender ‘Woman’ Moved into Housing Unit24 Feb 2020, 3:54 PM PDT
Breitbart|25 Feb 2020, 8:48 AM PDT|Republicans to Honor Female Athletes Fighting Transgenders in Women’s Sports25 Feb 2020, 8:29 AM PDT
Breitbart|27 Feb 2020, 1:45 PM PDT|Ohio Bill Would Bar Transgender Athletes from Girls Sports27 Feb 2020, 1:05 PM PDT
Breitbart|28 Feb 2020, 4:31 AM PDT|Conservative Lord to Boris: Stand Up to ‘Militant Transgender Fascist Lobby’28 Feb 2020, 2:35 AM PDT
Breitbart|2 Mar 2020, 10:02 AM PDT|Transgender Weightlifter Continues Olympic Quest2 Mar 2020, 9:14 AM PDT
Breitbart|2 Mar 2020, 11:59 AM PDT|Democrats Use Migrants to Smuggle the Transgender Ideology into U.S. Law2 Mar 2020, 6:50 PM PDT
Breitbart|3 Mar 2020, 8:17 AM PDT|Town Hall Celebration of International Woman’s Day Removed After Transgender Activism Pressure3 Mar 2020, 7:50 AM PDT
Breitbart|3 Mar 2020, 6:04 AM PDT|Uproar After Kanye West ‘Sunday Service’ Replaces Transgender Show3 Mar 2020, 4:16 AM PDT
Breitbart|6 Mar 2020, 1:12 AM PDT|HUD Secretary Ben Carson: Transgender Rights Not Above Those of Abused Women in Shelters6 Mar 2020, 12:13 PM PDT
Breitbart|7 Mar 2020, 9:26 PM PDT|Georgia Bill Would Make Child Transgender Surgeries, Drugs Illegal7 Mar 2020, 3:30 PM PDT
Breitbart|9 Mar 2020, 8:37 PM PDT|Activists: Bill to Protect Minors From Female Genital Mutilation Is Anti-Transgender9 Mar 2020, 7:37 PM PDT
Breitbart|18 Mar 2020, 6:30 AM PDT|Idaho Senate Approves Bill to Protect Women’s Sports from Transgender Athletes18 Mar 2020, 5:40 AM PDT
Breitbart|19 Mar 2020, 8:56 PM PDT|Victoria’s Secret Launches Transgender, Plus-Sized Campaign In Midst of Coronavirus Pandemic19 Mar 2020, 6:22 PM PDT
Breitbart|21 Mar 2020, 5:28 PM PDT|Coronavirus: Report Claims Transgenders Being Denied ‘Lifesaving’ Surgery21 Mar 2020, 3:25 PM PDT
Breitbart|26 Mar 2020, 4:15 PM PDT|Trump’s Deputies Help Girl Athletes Block Transgender Demands26 Mar 2020, 3:24 PM PDT
Breitbart|31 Mar 2020, 2:23 PM PDT|Idaho First State to Protect Women’s Sports from Transgender Athletes31 Mar 2020, 1:56 PM PDT
Breitbart|13 Apr 2020, 9:25 AM PDT|Former Joe Biden Aide: ‘Woman’ Running Mate Could Be Transgender; ‘Everything’s Possible’13 Apr 2020, 8:21 AM PDT
Breitbart|15 Apr 2020, 9:59 AM PDT|Lesbian YouTuber Condemns Transgender Athletes Mocking True Women Competitors15 Apr 2020, 5:37 PM PDT
Breitbart|29 Apr 2020, 10:46 AM PDT|UK Court Rules Transgender ‘Man’ Cannot Legally be Listed as Father on Child’s Brith Certificate29 Apr 2020, 10:21 AM PDT
Breitbart|6 May 2020, 4:23 PM PDT|WATCH: Track Championship Shows Why Female Athletes Should Not Face Transgender Competitors6 May 2020, 3:00 PM PDT
Breitbart|12 May 2020, 8:06 PM PDT|Court Nixes Judge’s Order to Require Annual Transgender Sensitivity Training for NJ Cops12 May 2020, 6:17 PM PDT
Breitbart|13 May 2020, 7:21 PM PDT|PA’s Transgender Health Secretary Snaps After Being Called ‘Sir’: ‘It’s Really Insulting’13 May 2020, 6:23 PM PDT
Breitbart|15 May 2020, 12:45 PM PDT|Pennsylvania’s Transgender Health Secretary Focusing on Gender Identity in Collection of Coronavirus Data15 May 2020, 11:58 AM PDT
Breitbart|19 May 2020, 10:45 AM PDT|School Apologises After 11-Year-Olds Told to Define Transgender, ‘Hardcore Pornography’ as Homework19 May 2020, 10:13 AM PDT
Breitbart|6 Jun 2020, 6:36 AM PDT|J.K. Rowling: ‘Transgender’ Claims Erase Women, Gays7 Jun 2020, 1:15 AM PDT
Breitbart|10 Jun 2020, 9:47 PM PDT|Oscar Winner Jordan Peele Donates $1 Million to Black Lives Matter, Transgender Causes11 Jun 2020, 10:51 AM PDT
